DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2007-05,88.7
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2007-06,88.8
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2007-07,89.3
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2007-08,89.1
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2007-09,89.3
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2007-10,89.4
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2007-11,89.9
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2007-12,90.5
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2008-01,90.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2008-02,90.6
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2008-03,91.1
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2008-04,90.9
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2008-05,91.5
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2008-06,91.8
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2008-07,92.3
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2008-08,92.0
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2008-09,92.0
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2008-10,91.7
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2008-11,91.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2008-12,91.5
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2009-01,91.1
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2009-02,91.6
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2009-03,91.4
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2009-04,91.5
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2009-05,91.4
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2009-06,91.8
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2009-07,91.7
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2009-08,92.0
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2009-09,91.6
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2009-10,91.6
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2009-11,91.5
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2009-12,92.3
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2010-01,91.7
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2010-02,92.0
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2010-03,92.5
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2010-04,92.4
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2010-05,92.5
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2010-06,92.6
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2010-07,92.8
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2010-08,92.9
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2010-09,92.7
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2010-10,92.8
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2010-11,92.9
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2010-12,94.0
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2011-01,93.5
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2011-02,94.1
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2011-03,94.7
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2011-04,94.9
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2011-05,94.8
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2011-06,94.8
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2011-07,95.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2011-08,95.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2011-09,95.3
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2011-10,95.4
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2011-11,95.4
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2011-12,96.1
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2012-01,95.7
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2012-02,96.5
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2012-03,96.9
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2012-04,97.0
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2012-05,96.8
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2012-06,96.6
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2012-07,97.0
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2012-08,97.4
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2012-09,97.4
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2012-10,97.4
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2012-11,97.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2012-12,98.1
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2013-01,97.5
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2013-02,98.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2013-03,98.7
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2013-04,98.1
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2013-05,98.3
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2013-06,98.5
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2013-07,98.9
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2013-08,98.9
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2013-09,98.9
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2013-10,98.6
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2013-11,98.8
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2013-12,99.3
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2014-01,98.6
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2014-02,99.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2014-03,99.4
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2014-04,99.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2014-05,99.0
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2014-06,99.4
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2014-07,99.6
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2014-08,99.7
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2014-09,99.7
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2014-10,99.3
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2014-11,99.3
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2014-12,99.4
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2015-01,98.1
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2015-02,99.0
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2015-03,99.7
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2015-04,100.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2015-05,100.6
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2015-06,100.5
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2015-07,100.9
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2015-08,100.8
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2015-09,100.5
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2015-10,100.5
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2015-11,99.5
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2015-12,99.6
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2016-01,98.5
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2016-02,98.9
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2016-03,99.8
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2016-04,99.9
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2016-05,100.5
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2016-06,100.6
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2016-07,101.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2016-08,101.1
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2016-09,101.1
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2016-10,101.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2016-11,100.3
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2016-12,101.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2017-01,100.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2017-02,101.0
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2017-03,101.3
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2017-04,101.9
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2017-05,101.8
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2017-06,102.3
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2017-07,102.9
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2017-08,103.0
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2017-09,103.0
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2017-10,102.7
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2017-11,102.0
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2017-12,102.7
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2018-01,101.7
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2018-02,102.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2018-03,103.0
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2018-04,103.2
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2018-05,104.3
ESTAT:PRC_HICP_MIDX(1.0),31/10/25 11:00:00,M,I15,CP00,DE,2018-06,104.4
